Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),Overseas ($mill)
Friday,Joe Johnston,action,Captain America: The First Avenger,22/07/2011,Paramount Pictures,391.8,140,370.6,6.8,3.56,124,193.9
Thursday,Jay Roach,action,Austin Powers in Goldmember,25/07/2002,New Line Cinema,392.2,63,296.7,6.2,2.99,94,83.3
Friday,Emile Ardolino,comedy,Sister Act,29/05/1992,Buena Vista Studios,392.6,31,231.6,6.2,2.97,100,92
Wednesday,Mike Newell,comedy,Four Weddings and a Funeral,9/3/1994,Gramercy Pictures,394.3,4.5,245.7,7.3,3.34,117,193
Wednesday,Steven Spielberg,animation,The Adventures of Tintin,21/12/2011,Paramount Pictures,395.4,130,374,7.4,3.58,107,296.4
Friday,"Karey Kirkpatrick, Tim Johnson",animation,Over the Hedge,19/05/2006,Pacific Data/DreamWorks,396.3,80,336,6.8,3.42,83,181
Friday,Chris Noonan,adventure,Babe,4/8/1995,Universal,396.5,30,254.1,6.8,3.65,89,190.5
Friday,"Peter Farrelly, Bobby Farrelly",comedy,Dumb and Dumber,16/12/1994,New Line Cinema,396.8,16,247.3,7.3,2.95,107,120.1
Wednesday,Martin Scorsese,biography,The Wolf of Wall Street,25/12/2013,Paramount Pictures,400.2,100,392,8.2,3.79,180,275.1
Friday,Robert Zemeckis,drama,What Lies Beneath,21/07/2000,DreamWorks,402.4,90,291.4,6.6,3.23,130,136
Friday,Tim Story,action,Fantastic Four,8/7/2005,Fox,402.6,87.5,330.6,5.7,2.9,106,175.9
Friday,Matthew Vaughn,action,Kingsman: The Secret Service,13/02/2015,Fox,403.8,81,403.8,7.9,3.66,129,275.5
Wednesday,"Ron Clements, John Musker",animation,The Little Mermaid,15/11/1989,Buena Vista Studios,405.2,40,211.3,6.6,3.24,83,99.8
Friday,Rob Marshall,comedy,Chicago,27/12/2002,MiraMax,405.6,30,306.8,7.2,3.58,113,136.1
Friday,Bryan Singer,action,X-Men,14/07/2000,Fox,409.2,200,296.3,7.4,3.59,131,139
Friday,Frank Darabont,crime,The Green Mile,10/12/1999,WB,409.4,60,286.8,8.5,3.99,189,150
Friday,Joe Johnston,adventure,Jumanji,15/12/1995,Sony,410.1,65,262.8,6.8,3.22,104,162.3
