,Day of Week_Friday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_fantasy,Genre_horror,Genre_musical,Genre_mystery,Genre_romance,Genre_sci-fi,Genre_thriller,Studio_encoded,Director_encoded,Studio_encoded,Director_encoded,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),Year,Month,Day
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15296052631578946,0.004934210526315789,0.15296052631578946,0.004934210526315789,0.0,0.5657982631930528,0.0006955984078525212,0.6000000000000001,0.5,0.4807692307692307,1.0,0.36363636363636365,0.7
1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15296052631578946,0.001644736842105263,0.15296052631578946,0.001644736842105263,0.0003160461126328132,0.218436873747495,0.0011593306797542113,0.6000000000000001,0.5,0.4903846153846154,0.9868421052631611,0.1818181818181818,0.43333333333333335
2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009868421052631578,0.001644736842105263,0.009868421052631578,0.001644736842105263,0.0007524907443638429,0.331997327989312,0.0022800170035166267,0.40000000000000013,0.5,0.46153846153846156,0.9868421052631611,0.6363636363636364,0.4666666666666667
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1069078947368421,0.006578947368421052,0.1069078947368421,0.006578947368421052,0.0010083375974475513,0.13827655310621242,0.000502376627893486,0.6000000000000001,0.75,0.3798076923076923,0.9605263157894761,0.1818181818181818,0.5
4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1069078947368421,0.009868421052631578,0.1069078947368421,0.009868421052631578,0.0011437859314330397,0.498997995991984,0.001970862155582176,0.8,0.75,0.485576923076923,0.9736842105263186,0.4545454545454545,0.9
5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1069078947368421,0.001644736842105263,0.1069078947368421,0.001644736842105263,0.001610330192938627,0.2651970607882432,0.004444100939057838,0.40000000000000013,0.5,0.5,0.9868421052631611,0.8181818181818182,0.5333333333333333
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15296052631578946,0.004934210526315789,0.15296052631578946,0.004934210526315789,0.001775878156698673,0.16499665998663995,0.004869188854967718,0.40000000000000013,0.5,0.4567307692307693,0.9868421052631611,0.9999999999999999,0.8
7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299342105263158,0.001644736842105263,0.1299342105263158,0.001644736842105263,0.002016675194895106,0.2818971275885104,0.003014259767360958,0.6000000000000001,0.5,0.40865384615384615,0.9605263157894761,0.09090909090909091,0.3
8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299342105263158,0.001644736842105263,0.1299342105263158,0.001644736842105263,0.002167173343767873,0.23179692718770875,0.005873942110754718,0.40000000000000013,0.5,0.29807692307692313,0.9868421052631611,0.8181818181818182,0.3
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10197368421052631,0.001644736842105263,0.10197368421052631,0.001644736842105263,0.002513319086175244,0.014696058784235138,0.0025891718514510914,0.40000000000000013,0.5,0.2596153846153846,0.9473684210526336,0.8181818181818182,0.6666666666666666
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15296052631578946,0.003289473684210526,0.15296052631578946,0.003289473684210526,0.00267886704993529,0.2651970607882432,0.000502376627893486,0.19999999999999996,0.25,0.2403846153846154,0.9342105263157912,0.9999999999999999,0.5333333333333333
